identifier,charity_number,company_number,filetype,filename,financial_year_end,org_type
GB-COH-00889858,,00889858,html,accounts/GB-COH-00889858-2017-09-30.html,2017-09-30,CLG
GB-COH-01759876,,01759876,pdf,accounts/GB-COH-01759876-2017-03-31.pdf,2017-03-31,CLG
GB-COH-02203518,,02203518,pdf,accounts/GB-COH-02203518-2017-03-31.pdf,2017-03-31,Community Interest Company
GB-COH-02381821,,02381821,pdf,accounts/GB-COH-02381821-2017-07-31.pdf,2017-07-31,Private Limited Company
GB-COH-02599428,,02599428,pdf,accounts/GB-COH-02599428-2017-06-30.pdf,2017-06-30,CLG
GB-COH-02608803,,02608803,pdf,accounts/GB-COH-02608803-2017-03-31.pdf,2017-03-31,CLG
GB-COH-02978957,,02978957,html,accounts/GB-COH-02978957-2017-10-31.html,2017-10-31,Private Limited Company
GB-COH-03054343,,03054343,html,accounts/GB-COH-03054343-2017-03-31.html,2017-03-31,CLG
GB-COH-03171108,,03171108,html,accounts/GB-COH-03171108-2017-03-31.html,2017-03-31,CLG
GB-COH-03296566,,03296566,pdf,accounts/GB-COH-03296566-2017-12-31.pdf,2017-12-31,CLG
GB-COH-03513202,,03513202,pdf,accounts/GB-COH-03513202-2017-03-31.pdf,2017-03-31,Community Interest Company
GB-COH-03591314,,03591314,pdf,accounts/GB-COH-03591314-2017-03-31.pdf,2017-03-31,CLG
GB-COH-03648122,,03648122,pdf,accounts/GB-COH-03648122-2017-03-31.pdf,2017-03-31,CLG
GB-COH-03874497,,03874497,html,accounts/GB-COH-03874497-2017-10-31.html,2017-10-31,Private Limited Company
GB-COH-03909555,,03909555,pdf,accounts/GB-COH-03909555-2017-12-31.pdf,2017-12-31,CLG
GB-COH-04001326,,04001326,html,accounts/GB-COH-04001326-2017-05-31.html,2017-05-31,CLG
GB-COH-04160469,,04160469,pdf,accounts/GB-COH-04160469-2017-03-31.pdf,2017-03-31,CLG
GB-COH-04173535,,04173535,html,accounts/GB-COH-04173535-2017-09-30.html,2017-09-30,CLG
GB-COH-04189619,,04189619,html,accounts/GB-COH-04189619-2017-03-31.html,2017-03-31,CLG
GB-COH-04274007,,04274007,html,accounts/GB-COH-04274007-2018-03-31.html,2018-03-31,Private Limited Company
GB-COH-04418625,,04418625,pdf,accounts/GB-COH-04418625-2017-03-31.pdf,2017-03-31,Private Limited Company
GB-COH-04554636,,04554636,pdf,accounts/GB-COH-04554636-2017-12-31.pdf,2017-12-31,
GB-COH-04577725,,04577725,html,accounts/GB-COH-04577725-2017-03-31.html,2017-03-31,CLG
GB-COH-04801730,,04801730,pdf,accounts/GB-COH-04801730-2017-03-31.pdf,2017-03-31,Community Interest Company
GB-COH-04846529,,04846529,pdf,accounts/GB-COH-04846529-2017-07-31.pdf,2017-07-31,Community Interest Company
GB-COH-04964138,,04964138,html,accounts/GB-COH-04964138-2017-03-31.html,2017-03-31,Private Limited Company
GB-COH-05047824,,05047824,html,accounts/GB-COH-05047824-2017-03-31.html,2017-03-31,CLG
GB-COH-05070626,,05070626,pdf,accounts/GB-COH-05070626-2013-03-31.pdf,2013-03-31,Private Limited Company
GB-COH-05135926,,05135926,pdf,accounts/GB-COH-05135926-2017-03-31.pdf,2017-03-31,CLG
GB-COH-05262487,,05262487,html,accounts/GB-COH-05262487-2017-03-31.html,2017-03-31,CLG
GB-COH-05263926,,05263926,pdf,accounts/GB-COH-05263926-2017-03-31.pdf,2017-03-31,Community Interest Company
GB-COH-05298085,,05298085,html,accounts/GB-COH-05298085-2017-03-31.html,2017-03-31,CLG
GB-COH-05419521,,05419521,pdf,accounts/GB-COH-05419521-2017-10-31.pdf,2017-10-31,Community Interest Company
GB-COH-05576596,,05576596,pdf,accounts/GB-COH-05576596-2017-03-31.pdf,2017-03-31,Community Interest Company
GB-COH-05611771,,05611771,pdf,accounts/GB-COH-05611771-2017-03-31.pdf,2017-03-31,Private Limited Company
GB-COH-05642581,,05642581,html,accounts/GB-COH-05642581-2017-12-31.html,2017-12-31,CLG
GB-COH-05677069,,05677069,html,accounts/GB-COH-05677069-2016-12-31.html,2016-12-31,CLG
GB-COH-05692427,,05692427,pdf,accounts/GB-COH-05692427-2017-03-31.pdf,2017-03-31,CLG
GB-COH-05766631,,05766631,html,accounts/GB-COH-05766631-2018-03-31.html,2018-03-31,Private Limited Company
GB-COH-05786202,,05786202,html,accounts/GB-COH-05786202-2017-03-31.html,2017-03-31,CLG
GB-COH-05853922,,05853922,pdf,accounts/GB-COH-05853922-2018-03-31.pdf,2018-03-31,CLG
GB-COH-05862214,,05862214,pdf,accounts/GB-COH-05862214-2017-12-31.pdf,2017-12-31,Community Interest Company
GB-COH-05888474,,05888474,pdf,accounts/GB-COH-05888474-2018-03-31.pdf,2018-03-31,Community Interest Company
GB-COH-05935259,,05935259,pdf,accounts/GB-COH-05935259-2017-09-30.pdf,2017-09-30,Community Interest Company
GB-COH-05969206,,05969206,html,accounts/GB-COH-05969206-2017-10-31.html,2017-10-31,CLG
GB-COH-05970967,,05970967,html,accounts/GB-COH-05970967-2017-03-31.html,2017-03-31,Private Limited Company
GB-COH-05976127,,05976127,html,accounts/GB-COH-05976127-2018-10-31.html,2018-10-31,CLG
GB-COH-06045786,,06045786,pdf,accounts/GB-COH-06045786-2017-12-31.pdf,2017-12-31,Community Interest Company
GB-COH-06076462,,06076462,pdf,accounts/GB-COH-06076462-2017-07-31.pdf,2017-07-31,Community Interest Company
,,,not found,,2018-03-31,
GB-COH-06110507,,06110507,pdf,accounts/GB-COH-06110507-2018-03-31.pdf,2018-03-31,Community Interest Company
GB-COH-06261979,,06261979,pdf,accounts/GB-COH-06261979-2017-12-31.pdf,2017-12-31,Community Interest Company
GB-COH-06269027,,06269027,html,accounts/GB-COH-06269027-2017-06-30.html,2017-06-30,CLG
GB-COH-06270922,,06270922,html,accounts/GB-COH-06270922-2016-11-30.html,2016-11-30,Private Limited Company
GB-COH-06273840,,06273840,pdf,accounts/GB-COH-06273840-2017-08-31.pdf,2017-08-31,Community Interest Company
GB-COH-06274005,,06274005,pdf,accounts/GB-COH-06274005-2018-03-31.pdf,2018-03-31,CLG
GB-COH-06285509,,06285509,html,accounts/GB-COH-06285509-2017-06-30.html,2017-06-30,CLG
GB-COH-06285571,,06285571,pdf,accounts/GB-COH-06285571-2017-08-31.pdf,2017-08-31,Community Interest Company
GB-COH-06285637,,06285637,pdf,accounts/GB-COH-06285637-2017-09-30.pdf,2017-09-30,Community Interest Company
GB-COH-06299911,,06299911,html,accounts/GB-COH-06299911-2017-03-31.html,2017-03-31,CLG
GB-COH-06352540,,06352540,html,accounts/GB-COH-06352540-2017-03-31.html,2017-03-31,Private Limited Company
GB-COH-06357764,,06357764,pdf,accounts/GB-COH-06357764-2018-08-31.pdf,2018-08-31,CLG
GB-COH-06368179,,06368179,pdf,accounts/GB-COH-06368179-2017-09-30.pdf,2017-09-30,Community Interest Company
GB-COH-06419805,,06419805,pdf,accounts/GB-COH-06419805-2017-03-31.pdf,2017-03-31,Community Interest Company
GB-COH-06488693,,06488693,html,accounts/GB-COH-06488693-2018-01-31.html,2018-01-31,CLG
GB-COH-06527975,,06527975,pdf,accounts/GB-COH-06527975-2017-03-31.pdf,2017-03-31,Community Interest Company
GB-COH-06529933,,06529933,pdf,accounts/GB-COH-06529933-2017-03-31.pdf,2017-03-31,Community Interest Company
GB-COH-06569976,,06569976,html,accounts/GB-COH-06569976-2018-03-31.html,2018-03-31,Private Limited Company
GB-COH-06570056,,06570056,pdf,accounts/GB-COH-06570056-2018-03-31.pdf,2018-03-31,Community Interest Company
GB-COH-06585052,,06585052,html,accounts/GB-COH-06585052-2018-03-31.html,2018-03-31,CLG
