,accounts_url,charity_number,financial_year_end,filename
0,http://apps.charitycommission.gov.uk/Accounts/Ends44/0001000544_AC_20170331_E_C.PDF,1000544,2017-03-31,accounts/GB-CHC-1000544-2017-03-31.pdf
1,http://apps.charitycommission.gov.uk/Accounts/Ends44/0001000544_AC_20160331_E_C.PDF,1000544,2016-03-31,
2,http://apps.charitycommission.gov.uk/Accounts/Ends44/0001000544_AC_20150331_E_C.PDF,1000544,2015-03-31,
3,http://apps.charitycommission.gov.uk/Accounts/Ends44/0001000544_AC_20140331_E_C.PDF,1000544,2014-03-31,
4,http://apps.charitycommission.gov.uk/Accounts/Ends44/0001000544_AC_20130331_E_C.PDF,1000544,2013-03-31,
5,http://apps.charitycommission.gov.uk/Accounts/Ends63/0001001463_AC_20170331_E_C.PDF,1001463,2017-03-31,accounts/GB-CHC-1001463-2017-03-31.pdf
6,http://apps.charitycommission.gov.uk/Accounts/Ends63/0001001463_AC_20160331_E_C.PDF,1001463,2016-03-31,
7,http://apps.charitycommission.gov.uk/Accounts/Ends63/0001001463_AC_20150331_E_C.PDF,1001463,2015-03-31,
8,http://apps.charitycommission.gov.uk/Accounts/Ends63/0001001463_AC_20140331_E_C.PDF,1001463,2014-03-31,
9,http://apps.charitycommission.gov.uk/Accounts/Ends63/0001001463_AC_20130331_E_C.PDF,1001463,2013-03-31,
10,http://apps.charitycommission.gov.uk/Accounts/Ends22/0001002722_AC_20170630_E_C.PDF,1002722,2017-06-30,accounts/GB-CHC-1002722-2017-06-30.pdf
11,http://apps.charitycommission.gov.uk/Accounts/Ends22/0001002722_AC_20160630_E_C.PDF,1002722,2016-06-30,
12,http://apps.charitycommission.gov.uk/Accounts/Ends22/0001002722_AC_20150630_E_C.PDF,1002722,2015-06-30,
13,http://apps.charitycommission.gov.uk/Accounts/Ends22/0001002722_AC_20140630_E_C.PDF,1002722,2014-06-30,
14,http://apps.charitycommission.gov.uk/Accounts/Ends22/0001002722_AC_20130630_E_C.PDF,1002722,2013-06-30,
15,http://apps.charitycommission.gov.uk/Accounts/Ends57/0001003257_AC_20170331_E_C.PDF,1003257,2017-03-31,accounts/GB-CHC-1003257-2017-03-31.pdf
16,http://apps.charitycommission.gov.uk/Accounts/Ends57/0001003257_AC_20160331_E_C.PDF,1003257,2016-03-31,
17,http://apps.charitycommission.gov.uk/Accounts/Ends57/0001003257_AC_20150331_E_C.PDF,1003257,2015-03-31,
18,http://apps.charitycommission.gov.uk/Accounts/Ends57/0001003257_AC_20140331_E_C.PDF,1003257,2014-03-31,
