,action_date,barcode,category,date,description,description_values.made_up_date,links.document_metadata,links.self,pages,paper_filed,transaction_id,type,company_number,filename,filetype
0,2017-09-30,X71YYNOQ,accounts,2018-03-18,accounts-with-accounts-type-micro-entity,2017-09-30,https://frontend-doc-api.companieshouse.gov.uk/document/tIkEYBmJzD6EYryw35GohZikGUPswTSbl5cdtDChh_Y,/company/00889858/filing-history/MzIwMDMwODMyNGFkaXF6a2N4,6.0,,MzIwMDMwODMyNGFkaXF6a2N4,AA,00889858,accounts/GB-COH-00889858-2017-09-30.html,html
1,2017-03-31,A6LN6R4I,accounts,2017-12-28,accounts-with-accounts-type-full,2017-03-31,https://frontend-doc-api.companieshouse.gov.uk/document/-QX6bApxyRwzZvBmZ1eoYQbgQLJvSsDU0f8-SFEGS_w,/company/01759876/filing-history/MzE5MzU3NDM0OGFkaXF6a2N4,16.0,True,MzE5MzU3NDM0OGFkaXF6a2N4,AA,01759876,accounts/GB-COH-01759876-2017-03-31.pdf,pdf
2,2017-03-31,A6XUJXEY,accounts,2018-01-18,accounts-with-accounts-type-total-exemption-full,2017-03-31,https://frontend-doc-api.companieshouse.gov.uk/document/ZYoX9EZa_4EqVErE7VC5icYKU2Jd63cpPN-VuV4Gwoo,/company/02203518/filing-history/MzE5NTU4ODg2NmFkaXF6a2N4,22.0,True,MzE5NTU4ODg2NmFkaXF6a2N4,AA,02203518,accounts/GB-COH-02203518-2017-03-31.pdf,pdf
3,2017-07-31,A6KFOPYU,accounts,2017-12-08,accounts-with-accounts-type-small,2017-07-31,https://frontend-doc-api.companieshouse.gov.uk/document/drJymuhM-uUAqBxebacaU25B3ctVwhAM8kXlhCO5tnI,/company/02381821/filing-history/MzE5MjIxMTA2OGFkaXF6a2N4,21.0,True,MzE5MjIxMTA2OGFkaXF6a2N4,AA,02381821,accounts/GB-COH-02381821-2017-07-31.pdf,pdf
4,2017-06-30,A6LSSZPT,accounts,2018-01-03,accounts-with-accounts-type-full,2017-06-30,https://frontend-doc-api.companieshouse.gov.uk/document/-VfSFOhi0RdDdo5kJz3xvpV6SPv9wQEyhiDwF9t6EdM,/company/02599428/filing-history/MzE5NDM2NjAzNGFkaXF6a2N4,43.0,True,MzE5NDM2NjAzNGFkaXF6a2N4,AA,02599428,accounts/GB-COH-02599428-2017-06-30.pdf,pdf
5,2017-03-31,L6M7R6CX,accounts,2018-01-05,accounts-with-accounts-type-total-exemption-full,2017-03-31,https://frontend-doc-api.companieshouse.gov.uk/document/-euvdN11rNf7BOvH-mnRwHli9oauY60aWah-TnxGV90,/company/02608803/filing-history/MzE5NDU2NTIyNGFkaXF6a2N4,4.0,True,MzE5NDU2NTIyNGFkaXF6a2N4,AA,02608803,accounts/GB-COH-02608803-2017-03-31.pdf,pdf
6,2017-10-31,X78DMLU3,accounts,2018-06-18,accounts-with-accounts-type-total-exemption-full,2017-10-31,https://frontend-doc-api.companieshouse.gov.uk/document/qqJKZlEY99ne5d_RXz0BcAdBrSThYOpPfR4le4zitqM,/company/02978957/filing-history/MzIwNzYxNjAwMWFkaXF6a2N4,5.0,,MzIwNzYxNjAwMWFkaXF6a2N4,AA,02978957,accounts/GB-COH-02978957-2017-10-31.html,html
7,2017-03-31,X6K8IG57,accounts,2017-11-29,accounts-with-accounts-type-total-exemption-full,2017-03-31,https://frontend-doc-api.companieshouse.gov.uk/document/sOw7JJnXwv5y1iNwE5C4XXNVqK_etvom-KcROBlRsuA,/company/03054343/filing-history/MzE5MTUwMzgxNmFkaXF6a2N4,11.0,,MzE5MTUwMzgxNmFkaXF6a2N4,AA,03054343,accounts/GB-COH-03054343-2017-03-31.html,html
8,2017-03-31,X6LJZAMH,accounts,2017-12-18,accounts-with-accounts-type-total-exemption-full,2017-03-31,https://frontend-doc-api.companieshouse.gov.uk/document/f53tupk5K7_UcAh7gYjDVo51fVMWZ1KBDEBCSf4Bwi8,/company/03171108/filing-history/MzE5MzExOTM0NWFkaXF6a2N4,8.0,,MzE5MzExOTM0NWFkaXF6a2N4,AA,03171108,accounts/GB-COH-03171108-2017-03-31.html,html
9,2017-12-31,A7HP6LXD,accounts,2018-11-07,accounts-with-accounts-type-total-exemption-full,2017-12-31,https://frontend-doc-api.companieshouse.gov.uk/document/kHrsyhiduN3DzibRN27UGbxD2vkXVpEM1DeWYGSYtis,/company/03296566/filing-history/MzIxODU5NDcwOGFkaXF6a2N4,21.0,True,MzIxODU5NDcwOGFkaXF6a2N4,AA,03296566,accounts/GB-COH-03296566-2017-12-31.pdf,pdf
10,2017-03-31,A6LAC6IJ,accounts,2017-12-20,accounts-with-accounts-type-small,2017-03-31,https://frontend-doc-api.companieshouse.gov.uk/document/HClr0sLeIUqslXvM6hpIHGQqc-1O7K_Vbkh6LkC8TnU,/company/03513202/filing-history/MzE5MzMyNzAxOWFkaXF6a2N4,28.0,True,MzE5MzMyNzAxOWFkaXF6a2N4,AA,03513202,accounts/GB-COH-03513202-2017-03-31.pdf,pdf
11,2017-03-31,A6KFNRNT,accounts,2017-12-07,accounts-with-accounts-type-total-exemption-full,2017-03-31,https://frontend-doc-api.companieshouse.gov.uk/document/mZ6D9Xp2lUen0RKgp5MQOWqSczXOYN52Me2VAg-14Vw,/company/03591314/filing-history/MzE5MjEzMDI2OGFkaXF6a2N4,26.0,True,MzE5MjEzMDI2OGFkaXF6a2N4,AA,03591314,accounts/GB-COH-03591314-2017-03-31.pdf,pdf
12,2017-03-31,A6LVDZCR,accounts,2018-01-05,accounts-with-accounts-type-total-exemption-full,2017-03-31,https://frontend-doc-api.companieshouse.gov.uk/document/Pi_JOB-sqGaAAvbcJIWqE6EynHuNiHXFdCuQRH5OHuU,/company/03648122/filing-history/MzE5NDUwMzY4NWFkaXF6a2N4,34.0,True,MzE5NDUwMzY4NWFkaXF6a2N4,AA,03648122,accounts/GB-COH-03648122-2017-03-31.pdf,pdf
13,2017-10-31,X75XDBKB,accounts,2018-05-14,accounts-with-accounts-type-micro-entity,2017-10-31,https://frontend-doc-api.companieshouse.gov.uk/document/md3pHAKmbSyRyVNRlcm_YHX05AZ3L1TU91NTrNncu_E,/company/03874497/filing-history/MzIwNDg2MDU1OGFkaXF6a2N4,3.0,,MzIwNDg2MDU1OGFkaXF6a2N4,AA,03874497,accounts/GB-COH-03874497-2017-10-31.html,html
14,2017-12-31,A7FF5UWJ,accounts,2018-10-05,accounts-with-accounts-type-small,2017-12-31,https://frontend-doc-api.companieshouse.gov.uk/document/e3j0JPrgOPNdFLCkP9yFE7_k670oHywTbcBnaWE7e2s,/company/03909555/filing-history/MzIxNjMxODYzNGFkaXF6a2N4,27.0,True,MzIxNjMxODYzNGFkaXF6a2N4,AA,03909555,accounts/GB-COH-03909555-2017-12-31.pdf,pdf
15,2017-05-31,X7038JAH,accounts,2018-02-19,accounts-with-accounts-type-total-exemption-full,2017-05-31,https://frontend-doc-api.companieshouse.gov.uk/document/OV0VxEp-Et80gN9yFGcB2U5Qod63-t1TQXjk2tGu_DM,/company/04001326/filing-history/MzE5ODAwMjkzNGFkaXF6a2N4,9.0,,MzE5ODAwMjkzNGFkaXF6a2N4,AA,04001326,accounts/GB-COH-04001326-2017-05-31.html,html
16,2017-03-31,A6L2NCEO,accounts,2017-12-18,accounts-with-accounts-type-group,2017-03-31,https://frontend-doc-api.companieshouse.gov.uk/document/SCg4yGsrMPwzFBBokLCeZOdAEEm-Q_euRocnTl-Y58Y,/company/04160469/filing-history/MzE5Mjk4NzY0MGFkaXF6a2N4,20.0,True,MzE5Mjk4NzY0MGFkaXF6a2N4,AA,04160469,accounts/GB-COH-04160469-2017-03-31.pdf,pdf
17,2017-09-30,X7GL4488,accounts,2018-10-15,accounts-with-accounts-type-total-exemption-full,2017-09-30,https://frontend-doc-api.companieshouse.gov.uk/document/ovlbFwQ7UUBxSM80xFISF31WZdYd3xO48-0xKgUc3AQ,/company/04173535/filing-history/MzIxNzAxNzc1NWFkaXF6a2N4,9.0,,MzIxNzAxNzc1NWFkaXF6a2N4,AA,04173535,accounts/GB-COH-04173535-2017-09-30.html,html
18,2017-03-31,X6LKAEXK,accounts,2017-12-18,accounts-with-accounts-type-micro-entity,2017-03-31,https://frontend-doc-api.companieshouse.gov.uk/document/bA-9bNcwuYV1MI_KbRM7Kg11jp7ptksRCfbXLq5cH-4,/company/04189619/filing-history/MzE5MzEyNzcwOWFkaXF6a2N4,5.0,,MzE5MzEyNzcwOWFkaXF6a2N4,AA,04189619,accounts/GB-COH-04189619-2017-03-31.html,html
19,2018-03-31,X79N5ELN,accounts,2018-07-06,accounts-with-accounts-type-micro-entity,2018-03-31,https://frontend-doc-api.companieshouse.gov.uk/document/0urTcVOIbWvfZUyULgjTW3i_UmSAT5QM0cum_PbPhqA,/company/04274007/filing-history/MzIwOTIxNDI1NWFkaXF6a2N4,6.0,,MzIwOTIxNDI1NWFkaXF6a2N4,AA,04274007,accounts/GB-COH-04274007-2018-03-31.html,html
20,2017-03-31,A6L7S8A3,accounts,2017-12-18,accounts-with-accounts-type-group,2017-03-31,https://frontend-doc-api.companieshouse.gov.uk/document/rCuVB5xE6vK7RIK9zclZxSlVhq0HAZXoXsEcTEGO9uM,/company/04418625/filing-history/MzE5MzAzMzg1MGFkaXF6a2N4,31.0,True,MzE5MzAzMzg1MGFkaXF6a2N4,AA,04418625,accounts/GB-COH-04418625-2017-03-31.pdf,pdf
21,2017-12-31,A78QQ3MX,accounts,2018-06-26,accounts-with-accounts-type-small,2017-12-31,https://frontend-doc-api.companieshouse.gov.uk/document/uZ9b8ss2XlPCwgX_W1g1vwO-nMmQsuIjsl1YbbWgN_A,/company/04554636/filing-history/MzIwODI4MjYyN2FkaXF6a2N4,8.0,True,MzIwODI4MjYyN2FkaXF6a2N4,AA,04554636,accounts/GB-COH-04554636-2017-12-31.pdf,pdf
22,2017-03-31,X6L2Y4P6,accounts,2017-12-11,accounts-with-accounts-type-micro-entity,2017-03-31,https://frontend-doc-api.companieshouse.gov.uk/document/2GtRK2A4Nktjj7keXIVRFYu9B95SYJgz3l2XfKPakF4,/company/04577725/filing-history/MzE5MjQ2MDM1N2FkaXF6a2N4,2.0,,MzE5MjQ2MDM1N2FkaXF6a2N4,AA,04577725,accounts/GB-COH-04577725-2017-03-31.html,html
23,2017-03-31,A6LSSNZL,accounts,2018-01-03,accounts-with-accounts-type-small,2017-03-31,https://frontend-doc-api.companieshouse.gov.uk/document/5l4yTHNSno9jDFL7y4t1mD7KUx3f3aGXhdnY7pIy8Uw,/company/04801730/filing-history/MzE5NDM3Mjc1NmFkaXF6a2N4,13.0,True,MzE5NDM3Mjc1NmFkaXF6a2N4,AA,04801730,accounts/GB-COH-04801730-2017-03-31.pdf,pdf
24,2017-07-31,A76EDNW9,accounts,2018-05-25,accounts-with-accounts-type-micro-entity,2017-07-31,https://frontend-doc-api.companieshouse.gov.uk/document/ZZEsW1BIiDETJyjDFl6eJN9M8wNYVnZRpi4cd5esRMM,/company/04846529/filing-history/MzIwNTg1NTA0NmFkaXF6a2N4,8.0,True,MzIwNTg1NTA0NmFkaXF6a2N4,AA,04846529,accounts/GB-COH-04846529-2017-07-31.pdf,pdf
25,2017-03-31,X6LAUWAX,accounts,2017-12-15,accounts-with-accounts-type-micro-entity,2017-03-31,https://frontend-doc-api.companieshouse.gov.uk/document/UtZ0Vo_1Ie2KmRLzWtRLdljc7BWM_nmht_Zjr4cAj0g,/company/04964138/filing-history/MzE5Mjk1NzE2OGFkaXF6a2N4,3.0,,MzE5Mjk1NzE2OGFkaXF6a2N4,AA,04964138,accounts/GB-COH-04964138-2017-03-31.html,html
